groups ,RACE,    Total population,        One race,        Two or more races,    One race,        White,        Black or African American,        American Indian and Alaska Native,            Cherokee tribal grouping,            Chippewa tribal grouping,            Navajo tribal grouping,            Sioux tribal grouping,        Asian,            Asian Indian,            Chinese,            Filipino,            Japanese,            Korean,            Vietnamese,            Other Asian,        Native Hawaiian and Other Pacific Islander,            Native Hawaiian,            Guamanian or Chamorro,            Samoan,            Other Pacific Islander,        Some other race,    Two or more races,        White and Black or African American,        White and American Indian and Alaska Native,        White and Asian,        Black or African American and American Indian and Alaska Native,    Race alone or in combination with one or more other races,        Total population,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,            Some other race,HISPANIC OR LATINO AND RACE,    Total population,        Hispanic or Latino (of any race),            Mexican,            Puerto Rican,            Cuban,            Other Hispanic or Latino,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some other race alone,            Two or more races,                Two races including Some other race,"                Two races excluding Some other race, and Three or more races",    Total housing units
MW_percent,,"67,941,431",97.30%,2.70%,97.30%,80.70%,10.40%,0.60%,0.10%,0.10%,0.00%,0.10%,3.10%,0.90%,0.60%,0.30%,0.10%,0.20%,0.20%,0.70%,0.10%,0.00%,0.00%,0.00%,0.00%,2.50%,2.70%,1.00%,0.50%,0.50%,0.10%,,"67,941,431",83.10%,11.70%,1.40%,3.70%,0.10%,2.80%,,"67,941,431",7.70%,5.60%,0.80%,0.10%,1.10%,92.30%,76.00%,10.20%,0.60%,3.10%,0.00%,0.10%,2.20%,0.10%,2.20%,(X)
MW_percent_moe,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,(X)
S_estimate,,"122,319,574","119,027,003","3,292,571","119,027,003","86,550,153","23,626,004","821,382","203,730","8,947","8,418","10,297","4,064,894","1,137,530","688,710","472,784","94,622","348,886","626,207","696,155","91,490","21,161","23,735","13,276","33,318","3,873,080","3,292,571","1,038,017","701,203","552,589","148,567",,"122,319,574","89,365,331","25,191,008","1,863,502","4,899,192","219,725","4,343,274",,"122,319,574","21,347,219","12,799,491","1,796,785","1,736,201","5,014,742","100,972,355","70,173,460","23,179,872","669,558","4,020,342","77,263","260,261","2,591,599","98,367","2,493,232","52,153,320"
S_moe,,*****,"±49,907","±49,907","±49,907","±57,785","±45,354","±17,536","±8,248","±2,106","±1,920","±2,655","±19,468","±25,513","±20,567","±16,634","±7,093","±13,607","±21,900","±25,377","±6,080","±2,923","±3,991","±2,725","±3,931","±68,123","±49,907","±27,058","±16,372","±17,606","±9,818",,*****,"±64,279","±35,115","±28,148","±18,772","±10,599","±68,882",,*****,"±8,464","±50,639","±39,633","±31,305","±54,949","±8,464","±12,634","±40,768","±10,903","±19,178","±5,181","±15,448","±38,131","±8,145","±38,325","±1,329"
S_percent,,"122,319,574",97.30%,2.70%,97.30%,70.80%,19.30%,0.70%,0.20%,0.00%,0.00%,0.00%,3.30%,0.90%,0.60%,0.40%,0.10%,0.30%,0.50%,0.60%,0.10%,0.00%,0.00%,0.00%,0.00%,3.20%,2.70%,0.80%,0.60%,0.50%,0.10%,,"122,319,574",73.10%,20.60%,1.50%,4.00%,0.20%,3.60%,,"122,319,574",17.50%,10.50%,1.50%,1.40%,4.10%,82.50%,57.40%,19.00%,0.50%,3.30%,0.10%,0.20%,2.10%,0.10%,2.00%,(X)
S_percent_moe ,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,(X)
W_estimate,,"76,657,000","72,932,197","3,724,803","72,932,197","52,254,319","3,551,491","1,268,014","39,207","13,282","300,370","23,896","7,739,884","1,008,913","1,918,859","1,825,811","552,815","628,939","854,272","950,275","445,000","139,046","48,215","97,822","159,917","7,673,489","3,724,803","555,242","700,398","975,267","71,723",,"76,657,000","55,395,090","4,491,031","2,281,411","9,348,096","979,246","8,359,094",,"76,657,000","22,802,786","18,559,892","447,895","178,576","3,616,423","53,854,214","38,731,118","3,379,942","985,563","7,612,893","409,794","157,420","2,577,484","83,674","2,493,810","29,631,027"
W_moe,,*****,"±47,749","±47,749","±47,749","±71,386","±22,307","±21,727","±4,703","±2,431","±8,081","±3,673","±26,392","±27,658","±33,343","±30,572","±17,379","±22,334","±24,643","±26,620","±10,250","±8,613","±5,408","±9,504","±11,754","±79,514","±47,749","±16,636","±19,346","±19,956","±7,243",,*****,"±84,869","±21,476","±30,154","±17,142","±17,480","±77,606",,*****,"±1,615","±52,681","±17,516","±11,303","±45,532","±1,615","±9,376","±19,657","±10,954","±23,935","±8,738","±11,706","±34,527","±7,017","±35,197","±1,610"
W_percent ,,"76,657,000",95.10%,4.90%,95.10%,68.20%,4.60%,1.70%,0.10%,0.00%,0.40%,0.00%,10.10%,1.30%,2.50%,2.40%,0.70%,0.80%,1.10%,1.20%,0.60%,0.20%,0.10%,0.10%,0.20%,10.00%,4.90%,0.70%,0.90%,1.30%,0.10%,,"76,657,000",72.30%,5.90%,3.00%,12.20%,1.30%,10.90%,,"76,657,000",29.70%,24.20%,0.60%,0.20%,4.70%,70.30%,50.50%,4.40%,1.30%,9.90%,0.50%,0.20%,3.40%,0.10%,3.30%,(X)
W_percent_moe,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,,(X),±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,(X)
